backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,variant,min_us,mean_us,trimmed_mean_us,stddev_us,cv,p50_us,p95_us,p99_us,max_us
halide,rotate,linear,2296,3056,3056,2296,90,0,300,0,4999,5739.89,5647.80,716.25,0.1248,5470,7549,8393,8840
halide,rotate,linear,2296,3056,2296,3056,180,0,300,0,971,1102.12,1083.97,139.24,0.1263,1076,1435,1619,1848
halide,rotate,linear,2296,3056,3056,2296,270,0,300,0,4103,4364.37,4312.76,355.99,0.0816,4230,5174,5667,6623
halide,rotate,linear,3000,4000,4000,3000,90,0,300,0,10406,11894.78,11809.27,968.01,0.0814,11615,13801,15048,16461
halide,rotate,linear,3000,4000,3000,4000,180,0,300,0,1716,1895.26,1869.35,198.92,0.1050,1829,2253,2746,3114
halide,rotate,linear,3000,4000,4000,3000,270,0,300,0,10449,11415.02,11308.05,965.19,0.0846,11009,13063,15199,16560
opencv_neon,rotate,linear,1080,1440,1440,1080,90,0,300,0,2228,2271.99,2270.03,29.04,0.0128,2276,2312,2379,2390
opencv_neon,rotate,linear,1080,1440,1080,1440,180,0,300,0,1158,1179.64,1178.05,21.75,0.0184,1168,1220,1234,1243
opencv_neon,rotate,linear,1080,1440,1440,1080,270,0,300,0,1202,1230.58,1228.78,24.52,0.0199,1218,1275,1287,1324
opencv_neon,rotate,linear,2296,3056,3056,2296,90,0,300,0,11984,13768.29,13752.16,1551.42,0.1127,12557,15395,15585,17551
opencv_neon,rotate,linear,2296,3056,2296,3056,180,0,300,0,6496,6719.58,6715.04,117.40,0.0175,6694,6936,7007,7012
opencv_neon,rotate,linear,2296,3056,3056,2296,270,0,300,0,12419,12649.54,12613.67,429.23,0.0339,12600,12767,12959,19573
opencv_neon,rotate,linear,3000,4000,4000,3000,90,0,300,0,28160,28550.72,28506.59,322.93,0.0113,28490,28793,30629,30948
opencv_neon,rotate,linear,3000,4000,3000,4000,180,0,300,0,11175,11578.90,11510.21,546.70,0.0472,11432,12144,13693,17527
opencv_neon,rotate,linear,3000,4000,4000,3000,270,0,300,0,21504,21921.23,21845.23,578.06,0.0264,21813,22297,24323,29389
