backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,min_us,mean_us,stddev_us,p50_us,p95_us,p99_us,max_us
opencv_neon,rotate,linear,3840,2160,2160,3840,270,2,200,9406,12431.26,2161.53,11813,17629,17745,17847
opencv_neon,rotate,linear,3840,2160,2160,3840,270,4,200,9889,13450.47,2004.86,12908,16467,19787,24338
halide,rotate_1c,linear,640,480,480,640,90,0,200,28,50.41,38.75,37,116,194,404
halide,rotate_1c,linear,640,480,480,640,90,2,200,49,252.03,314.41,111,918,1417,2388
halide,rotate_1c,linear,640,480,480,640,90,4,200,45,258.03,392.86,134,797,2342,3674
halide,rotate_1c,linear,1280,720,720,1280,90,0,200,210,297.19,99.48,251,486,566,661
halide,rotate_1c,linear,1280,720,720,1280,90,2,200,310,480.51,174.91,430,791,880,2049
halide,rotate_1c,linear,1280,720,720,1280,90,4,200,411,519.75,87.19,494,692,831,881
halide,rotate_1c,linear,1920,1080,1080,1920,90,0,200,421,491.35,50.07,473,589,629,716
halide,rotate_1c,linear,1920,1080,1080,1920,90,2,200,461,557.65,60.36,549,637,762,1008
halide,rotate_1c,linear,1920,1080,1080,1920,90,4,200,932,1024.28,86.86,1005,1209,1304,1495
halide,rotate_1c,linear,640,480,640,480,180,0,200,61,80.56,21.06,77,103,156,285
halide,rotate_1c,linear,640,480,640,480,180,2,200,59,79.53,35.26,73,93,201,428
halide,rotate_1c,linear,640,480,640,480,180,4,200,52,69.69,15.92,67,85,137,200
halide,rotate_1c,linear,1280,720,1280,720,180,0,200,129,146.61,24.27,141,186,269,318
halide,rotate_1c,linear,1280,720,1280,720,180,2,200,113,130.06,14.66,128,147,166,301
halide,rotate_1c,linear,1280,720,1280,720,180,4,200,97,122.80,17.56,119,152,204,222
halide,rotate_1c,linear,1920,1080,1920,1080,180,0,200,247,286.89,50.35,272,389,549,586
halide,rotate_1c,linear,1920,1080,1920,1080,180,2,200,231,250.25,38.62,241,284,470,566
halide,rotate_1c,linear,1920,1080,1920,1080,180,4,200,200,234.82,27.97,234,282,330,411
halide,rotate_1c,linear,640,480,480,640,270,0,200,21,30.52,14.70,26,45,126,136
halide,rotate_1c,linear,640,480,480,640,270,2,200,29,53.72,35.01,42,128,154,325
halide,rotate_1c,linear,640,480,480,640,270,4,200,27,45.77,70.48,36,64,131,1014
halide,rotate_1c,linear,1280,720,720,1280,270,0,200,181,206.44,38.50,189,261,382,434
halide,rotate_1c,linear,1280,720,720,1280,270,2,200,238,297.86,45.78,277,383,458,511
halide,rotate_1c,linear,1280,720,720,1280,270,4,200,351,405.43,44.05,400,479,563,621
halide,rotate_1c,linear,1920,1080,1080,1920,270,0,200,369,418.53,46.77,404,510,575,685
halide,rotate_1c,linear,1920,1080,1080,1920,270,2,200,607,685.22,88.69,661,816,1045,1337
halide,rotate_1c,linear,1920,1080,1080,1920,270,4,200,820,896.16,40.00,892,963,1006,1038
opencv_neon,rotate_1c,linear,640,480,480,640,90,0,200,101,101.93,5.98,101,101,130,158
opencv_neon,rotate_1c,linear,640,480,480,640,90,2,200,155,156.13,4.87,155,156,183,184
opencv_neon,rotate_1c,linear,640,480,480,640,90,4,200,155,156.70,6.14,155,157,186,198
opencv_neon,rotate_1c,linear,1280,720,720,1280,90,0,200,658,710.17,198.16,663,869,1001,2735
opencv_neon,rotate_1c,linear,1280,720,720,1280,90,2,200,654,709.03,195.85,658,805,2062,2191
opencv_neon,rotate_1c,linear,1280,720,720,1280,90,4,200,655,664.33,13.32,659,693,700,717
opencv_neon,rotate_1c,linear,1920,1080,1080,1920,90,0,200,1509,1618.12,472.92,1535,1797,2689,7788
opencv_neon,rotate_1c,linear,1920,1080,1080,1920,90,2,200,1473,1491.56,19.51,1478,1518,1527,1578
opencv_neon,rotate_1c,linear,1920,1080,1080,1920,90,4,200,1490,1509.90,19.26,1498,1535,1540,1618
opencv_neon,rotate_1c,linear,640,480,640,480,180,0,200,23,23.45,2.65,23,24,25,60
opencv_neon,rotate_1c,linear,640,480,640,480,180,2,200,29,29.18,2.40,29,29,30,63
opencv_neon,rotate_1c,linear,640,480,640,480,180,4,200,24,25.49,3.61,24,29,37,56
opencv_neon,rotate_1c,linear,1280,720,1280,720,180,0,200,78,85.47,29.27,81,86,177,424
opencv_neon,rotate_1c,linear,1280,720,1280,720,180,2,200,77,82.70,19.31,81,82,118,348
opencv_neon,rotate_1c,linear,1280,720,1280,720,180,4,200,77,80.30,4.87,80,81,114,119
opencv_neon,rotate_1c,linear,1920,1080,1920,1080,180,0,200,166,175.06,9.03,172,195,210,214
opencv_neon,rotate_1c,linear,1920,1080,1920,1080,180,2,200,162,170.75,13.83,168,186,211,316
opencv_neon,rotate_1c,linear,1920,1080,1920,1080,180,4,200,161,165.24,7.36,164,169,202,212
opencv_neon,rotate_1c,linear,640,480,480,640,270,0,200,151,158.73,30.47,152,187,251,484
opencv_neon,rotate_1c,linear,640,480,480,640,270,2,200,151,152.31,5.55,151,152,182,191
opencv_neon,rotate_1c,linear,640,480,480,640,270,4,200,151,170.49,31.05,152,231,267,333
opencv_neon,rotate_1c,linear,1280,720,720,1280,270,0,200,364,460.56,134.44,366,654,687,827
opencv_neon,rotate_1c,linear,1280,720,720,1280,270,2,200,643,703.74,346.33,648,687,3378,3518
opencv_neon,rotate_1c,linear,1280,720,720,1280,270,4,200,646,653.90,13.92,648,685,689,743
opencv_neon,rotate_1c,linear,1920,1080,1080,1920,270,0,200,1486,1565.16,346.04,1510,1632,3045,5325
