backend,op,interp,src_w,src_h,dst_w,dst_h,rot,stress,iters,variant,min_us,mean_us,trimmed_mean_us,stddev_us,cv,p50_us,p95_us,p99_us,max_us
halide,nv21_resize_rgb,area,2296,3056,1280,1280,90,0,300,1,81355,98222.07,97906.66,11429.01,0.1164,99082,114793,121055,128101
halide,nv21_resize_rgb,area,2296,3056,1280,1280,90,0,300,2,92145,106373.71,105930.27,10570.28,0.0994,103273,123572,127298,141151
halide,nv21_resize_rgb,area,2296,3056,1280,1280,90,0,300,3,89929,104702.55,104285.72,10311.03,0.0985,103337,122668,125899,131552
halide,nv21_resize_rgb,area,2296,3056,1408,1408,90,0,300,0,101751,127758.82,127917.52,15510.70,0.1214,135160,146655,149505,156619
halide,nv21_resize_rgb,area,2296,3056,1408,1408,90,0,300,1,99740,121172.52,121116.53,12650.28,0.1044,124976,138426,143635,148864
halide,nv21_resize_rgb,area,2296,3056,1408,1408,90,0,300,2,102980,133657.29,133422.49,19055.62,0.1426,137342,161703,168176,176857
halide,nv21_resize_rgb,area,2296,3056,1408,1408,90,0,300,3,102458,130166.76,130422.93,14234.47,0.1094,135140,146918,154079,172267
halide,nv21_resize_rgb,area,3000,4000,384,384,90,0,300,0,17806,20790.73,20403.56,3188.33,0.1534,19902,25838,33317,42323
halide,nv21_resize_rgb,area,3000,4000,384,384,90,0,300,1,16898,19146.48,19068.31,1296.08,0.0677,19173,21422,23681,24886
halide,nv21_resize_rgb,area,3000,4000,384,384,90,0,300,2,25986,29240.92,29204.63,1500.45,0.0513,29113,31449,32988,37571
halide,nv21_resize_rgb,area,3000,4000,384,384,90,0,300,3,17792,21155.37,20820.43,3114.69,0.1472,20622,26748,31752,41343
halide,nv21_resize_rgb,area,3000,4000,518,518,90,0,300,0,32210,36169.13,36090.03,1899.23,0.0525,35948,39169,42113,43854
halide,nv21_resize_rgb,area,3000,4000,518,518,90,0,300,1,28454,30853.82,30831.69,1116.89,0.0362,30752,32553,33285,34810
halide,nv21_resize_rgb,area,3000,4000,518,518,90,0,300,2,37217,42181.36,41915.66,3142.84,0.0745,41514,49182,52467,53596
halide,nv21_resize_rgb,area,3000,4000,518,518,90,0,300,3,32129,36236.34,36172.32,2069.89,0.0571,35987,39797,41793,44342
halide,nv21_resize_rgb,area,3000,4000,640,640,90,0,300,0,42125,45218.44,45151.01,1342.51,0.0297,44994,47786,49246,50028
halide,nv21_resize_rgb,area,3000,4000,640,640,90,0,300,1,39119,42637.85,42623.92,1447.11,0.0339,42806,44867,45613,46438
halide,nv21_resize_rgb,area,3000,4000,640,640,90,0,300,2,43557,46771.33,46711.48,1357.99,0.0290,46603,49341,50722,51194
halide,nv21_resize_rgb,area,3000,4000,640,640,90,0,300,3,42472,45210.00,45118.96,1337.26,0.0296,45000,47543,49195,51252
halide,nv21_resize_rgb,area,3000,4000,1280,1280,90,0,300,0,106224,126881.88,126602.40,11747.97,0.0926,127691,146832,152556,155168
halide,nv21_resize_rgb,area,3000,4000,1280,1280,90,0,300,1,97370,121797.17,121848.94,13252.15,0.1088,125939,139490,145148,151803
halide,nv21_resize_rgb,area,3000,4000,1280,1280,90,0,300,2,107735,128969.29,128659.25,12541.92,0.0972,129034,149843,154453,158075
halide,nv21_resize_rgb,area,3000,4000,1280,1280,90,0,300,3,107973,130096.43,130078.61,11138.05,0.0856,131199,147507,152590,165898
halide,nv21_resize_rgb,area,3000,4000,1408,1408,90,0,300,0,120186,151993.18,152229.63,17475.02,0.1150,157685,172903,183066,190379
halide,nv21_resize_rgb,area,3000,4000,1408,1408,90,0,300,1,118819,149045.88,149590.64,10832.49,0.0727,150634,163036,168786,169524
halide,nv21_resize_rgb,area,3000,4000,1408,1408,90,0,300,2,120671,159684.54,159165.33,23537.97,0.1474,163595,194880,214651,221628
halide,nv21_resize_rgb,area,3000,4000,1408,1408,90,0,300,3,120457,155542.57,155746.41,20210.52,0.1299,162587,180393,189106,201142
halide,rotate,linear,1080,1440,1440,1080,90,0,300,0,520,641.03,628.81,109.46,0.1708,611,836,1053,1196
halide,rotate,linear,1080,1440,1440,1080,90,0,300,1,274,408.29,392.00,130.88,0.3206,370,622,829,1446
halide,rotate,linear,1080,1440,1440,1080,90,0,300,2,551,697.38,671.19,189.60,0.2719,613,1062,1540,1848
halide,rotate,linear,1080,1440,1440,1080,90,0,300,3,491,592.01,577.70,111.20,0.1878,559,773,944,1566
halide,rotate,linear,1080,1440,1080,1440,180,0,300,0,371,415.95,409.26,41.22,0.0991,402,498,589,670
halide,rotate,linear,1080,1440,1080,1440,180,0,300,1,169,324.19,304.35,163.88,0.5055,293,479,1173,1312
halide,rotate,linear,1080,1440,1080,1440,180,0,300,2,168,264.98,248.25,134.48,0.5075,226,417,691,1610
halide,rotate,linear,1080,1440,1080,1440,180,0,300,3,363,426.47,415.53,79.80,0.1871,412,491,729,1426
halide,rotate,linear,1080,1440,1440,1080,270,0,300,0,611,687.41,668.15,133.86,0.1947,628,931,1079,1866
halide,rotate,linear,1080,1440,1440,1080,270,0,300,1,534,666.48,659.89,88.14,0.1323,654,801,877,1485
halide,rotate,linear,1080,1440,1440,1080,270,0,300,2,222,356.40,346.18,109.27,0.3066,337,555,691,1336
halide,rotate,linear,1080,1440,1440,1080,270,0,300,3,540,616.44,610.51,53.93,0.0875,604,710,853,928
halide,rotate,linear,2296,3056,3056,2296,90,0,300,0,7436,9531.41,9490.98,1025.47,0.1076,9405,11379,12135,14539
halide,rotate,linear,2296,3056,3056,2296,90,0,300,1,5645,6063.78,6048.33,292.79,0.0483,6046,6455,6714,8118
halide,rotate,linear,2296,3056,3056,2296,90,0,300,2,4505,4908.12,4902.81,246.69,0.0503,4954,5227,5609,5863
halide,rotate,linear,2296,3056,3056,2296,90,0,300,3,8525,10387.64,10346.47,913.20,0.0879,10273,12019,13005,13198
halide,rotate,linear,2296,3056,2296,3056,180,0,300,0,1012,1172.38,1151.58,168.88,0.1440,1128,1427,1835,2385
halide,rotate,linear,2296,3056,2296,3056,180,0,300,1,733,877.31,870.55,92.99,0.1060,862,1038,1124,1493
halide,rotate,linear,2296,3056,2296,3056,180,0,300,2,825,994.80,974.59,151.16,0.1519,978,1202,1824,1895
halide,rotate,linear,2296,3056,2296,3056,180,0,300,3,1017,1133.92,1115.51,149.44,0.1318,1112,1320,1542,2625
halide,rotate,linear,2296,3056,3056,2296,270,0,300,0,7046,8046.40,7999.76,650.41,0.0808,7912,9226,9995,10832
halide,rotate,linear,2296,3056,3056,2296,270,0,300,1,5536,6089.39,6073.20,299.92,0.0493,6014,6477,7023,8167
halide,rotate,linear,2296,3056,3056,2296,270,0,300,2,5699,6125.31,6108.11,322.03,0.0526,6032,6597,6863,7639
halide,rotate,linear,2296,3056,3056,2296,270,0,300,3,8162,10255.59,10226.57,878.18,0.0856,10100,11907,12709,12967
halide,rotate,linear,3000,4000,4000,3000,90,0,300,0,17835,21827.71,21802.81,1436.57,0.0658,21643,24490,25427,25733
halide,rotate,linear,3000,4000,4000,3000,90,0,300,1,12407,15686.83,15619.83,1564.23,0.0997,15461,18781,19984,20977
halide,rotate,linear,3000,4000,4000,3000,90,0,300,2,9742,10294.18,10254.92,496.58,0.0482,10011,11217,11621,11895
halide,rotate,linear,3000,4000,4000,3000,90,0,300,3,19931,23236.67,23197.01,1324.97,0.0570,23106,25392,26533,28918
halide,rotate,linear,3000,4000,3000,4000,180,0,300,0,1601,1796.73,1762.50,256.01,0.1425,1692,2364,2680,3252
halide,rotate,linear,3000,4000,3000,4000,180,0,300,1,1401,1615.26,1606.31,148.24,0.0918,1574,1895,2002,2162
halide,rotate,linear,3000,4000,3000,4000,180,0,300,2,1452,1636.47,1598.98,254.08,0.1553,1589,1772,2862,3763
halide,rotate,linear,3000,4000,3000,4000,180,0,300,3,1849,2036.36,2024.80,136.44,0.0670,2005,2323,2473,2690
halide,rotate,linear,3000,4000,4000,3000,270,0,300,0,17825,20607.66,20591.66,1142.35,0.0554,20562,22584,23779,24202
halide,rotate,linear,3000,4000,4000,3000,270,0,300,1,10779,11464.97,11432.96,464.51,0.0405,11296,12291,12876,13510
halide,rotate,linear,3000,4000,4000,3000,270,0,300,2,10928,11525.57,11468.35,588.20,0.0510,11200,12634,13216,13732
halide,rotate,linear,3000,4000,4000,3000,270,0,300,3,20582,23664.01,23650.42,1372.57,0.0580,23605,25889,27052,27693
